#Observed stellar masses in Msun
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: observed SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(SM_Center) Median_FQ(Centrals) Err+ Err- Median_FQ(Sats) Err+ Err- Median_FQ(Sats_MW) Err+ Err- Median_FQ(Sats_Group) Err+ Err- Median_FQ(Sats_Cluster) Err+ Err- SM_Left_Edge SM_Right_Edge Bestfit_Galaxy_Counts Bestfit_Central_Galaxy_Counts Bestfit_Sat_Galaxy_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
7.3 0.000247097 0.000399489 0.000163999 0.000161339 0.00042276 0.000115311 0.000161675 0.000577906 0.000119365 0.000363372 0.000909432 0.000363372 0 0 0 7.2 7.4 626043 490353 135690 19874 2523 0
7.5 0.000311264 0.000583031 0.000176717 0.000226591 0.000494233 0.000153354 0.000220158 0.000757877 0.000144213 0.0004095 0.00118922 8.837e-05 0 0 0 7.4 7.6 503344 380394 122950 20433 2481 0
7.7 0.000395002 0.000708885 0.00023495 0.000265883 0.000776687 0.000173799 0.000345692 0.00120965 0.000228728 0.000361272 0.00123771 0.000361272 0 0 0 7.6 7.8 391975 286958 105017 19683 2422 0
7.9 0.000408497 0.000673434 0.000231945 0.000286981 0.00127924 0.000183929 0.000320015 0.0018871 0.000166224 0.000383289 0.00219403 0.000383289 0 0 0 7.8 8 298909 214171 84738 18110 2280 0
8.1 0.000315831 0.000627803 0.000184796 0.000375152 0.00229018 0.000300596 0.000331053 0.00351157 0.000271241 0.000457247 0.00456535 0.000457247 0 0 0 8 8.2 222256 159132 63124 15872 1933 0
8.3 0.000249905 0.000731692 0.000159694 0.000411796 0.00372519 0.000303289 0.000307882 0.00511519 0.000244386 0 0.00639163 0 0 0 0 8.2 8.4 162857 117649 45208 13161 1608 0
8.5 0.000236738 0.00180646 0.00016507 0.000591891 0.0067814 0.000492849 0.000612912 0.00866836 0.000532957 0 0.015544 0 0 0 0 8.4 8.6 118860 86968 31892 10988 1344 0
8.7 0.000208053 0.00358264 0.00016307 0.000809444 0.013462 0.000738216 0.000763068 0.0165199 0.000672586 0.00180343 0.0255236 0.00180343 0 0 0 8.6 8.8 86483 64690 21793 8627 1101 0
8.9 0.000491661 0.00673512 0.00046555 0.00250643 0.0209362 0.00239295 0.00265051 0.0219254 0.0025322 0.00406918 0.0353804 0.00406918 0 0 0 8.8 9 63055 48010 15045 6525 949 0
9.1 0.00124352 0.0108034 0.00117002 0.00574226 0.0317877 0.00557967 0.00399867 0.0304705 0.00399867 0.00690449 0.0448834 0.00690449 0 0 0 9 9.2 45144 34940 10204 4766 781 0
9.3 0.00297742 0.0225169 0.00277241 0.010311 0.0534684 0.0101833 0.0066385 0.0441841 0.0066385 0.0164425 0.0776587 0.0164425 0 0 0 9.2 9.4 32372 25417 6955 3222 635 0
9.5 0.00784022 0.0295907 0.00721707 0.0209632 0.0629661 0.0200798 0.0120545 0.0479169 0.0116251 0.0445545 0.127743 0.0410333 0 0 0 9.4 9.6 23262 18661 4601 1933 554 0
9.7 0.0153185 0.0372805 0.0130529 0.0394961 0.087508 0.036376 0.0216667 0.0544412 0.0207738 0.0778688 0.118252 0.0671392 0 0 0 9.6 9.8 16259 13279 2980 1017 477 0
