#Observed stellar masses in Msun
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: observed SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(SM_Center) Median_FQ(Centrals) Err+ Err- Median_FQ(Sats) Err+ Err- Median_FQ(Sats_MW) Err+ Err- Median_FQ(Sats_Group) Err+ Err- Median_FQ(Sats_Cluster) Err+ Err- SM_Left_Edge SM_Right_Edge Bestfit_Galaxy_Counts Bestfit_Central_Galaxy_Counts Bestfit_Sat_Galaxy_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
7.3 7.93052e-05 0.000202242 5.73445e-05 7.7902e-05 0.000315968 5.82896e-05 0.00011363 0.000402206 0.00011363 0 0.000923361 0 0 0 0 7.2 7.4 610523 487658 122865 15612 1123 0
7.5 0.000151441 0.000284924 8.46843e-05 0.000113842 0.000545798 8.5163e-05 0.000188774 0.000731867 0.000136429 0 0.00163934 0 0 0 0 7.4 7.6 484920 374686 110234 15692 1161 0
7.7 0.000215978 0.000442497 0.000117244 0.000137708 0.00070586 8.5892e-05 0.000254324 0.000958218 0.000149127 0 0.000921659 0 0 0 0 7.6 7.8 372688 279789 92899 15249 1125 0
7.9 0.000242392 0.000495608 0.000140266 0.000166054 0.000978773 9.34301e-05 0.000260417 0.0013117 0.000200879 0 0.00239808 0 0 0 0 7.8 8 279441 206452 72989 13996 1113 0
8.1 0.000243349 0.000650099 0.000146142 0.000205106 0.00164506 0.00011625 0.000138831 0.00226092 0.000138831 0 0.00408998 0 0 0 0 8 8.2 204465 151095 53370 12029 972 0
8.3 0.000222027 0.00067681 0.000148289 0.000312744 0.00289874 0.000218081 0.000237756 0.00369778 0.000237756 0 0.00473037 0 0 0 0 8.2 8.4 147139 109225 37914 10180 786 0
8.5 0.000189905 0.00112248 0.000140139 0.000387916 0.00409608 0.000244337 0.000273723 0.00563435 0.000273723 0 0.0107527 0 0 0 0 8.4 8.6 105439 79576 25863 8258 696 0
8.7 0.000166217 0.00203786 0.000146783 0.000516983 0.00819346 0.00033029 0.000288809 0.0105147 0.000288809 0 0.0168856 0 0 0 0 8.6 8.8 74675 57337 17338 6465 545 0
8.9 0.000135449 0.00446269 0.000110775 0.000770878 0.0143158 0.000678491 0.000671141 0.0160042 0.000671141 0 0.0267857 0 0 0 0 8.8 9 52459 40950 11509 5089 462 0
9.1 0.000427396 0.00895462 0.000427396 0.00111682 0.0267133 0.00101286 0.00050163 0.0256189 0.00050163 0.0027933 0.041528 0.0027933 0 0 0 9 9.2 37154 29494 7660 3734 347 0
9.3 0.00150383 0.0166701 0.00150383 0.00385474 0.0404897 0.00365251 0.00175623 0.0359873 0.00140805 0.00946372 0.0665241 0.00946372 0 0 0 9.2 9.4 25679 20821 4858 2446 302 0
9.5 0.00284535 0.0282326 0.00284535 0.00765931 0.0561048 0.007336 0.00286944 0.0535189 0.00286944 0.0264151 0.0995108 0.0264151 0 0 0 9.4 9.6 17511 14443 3068 1498 255 0
9.7 0.00661881 0.0405887 0.00639497 0.0149716 0.0796563 0.014463 0.00731707 0.0499183 0.00731707 0.0485437 0.16641 0.0485437 0 0 0 9.6 9.8 12174 10221 1953 837 197 0
9.9 0.01721 0.0573834 0.015969 0.0372168 0.08568 0.0355319 0.0153061 0.0498102 0.0153061 0.0867052 0.138647 0.0809909 0 0 0 9.8 10 8346 7082 1264 420 194 0
