#Observed stellar masses in Msun
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: observed SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(SM_Center) Median_FQ(Centrals) Err+ Err- Median_FQ(Sats) Err+ Err- Median_FQ(Sats_MW) Err+ Err- Median_FQ(Sats_Group) Err+ Err- Median_FQ(Sats_Cluster) Err+ Err- SM_Left_Edge SM_Right_Edge Bestfit_Galaxy_Counts Bestfit_Central_Galaxy_Counts Bestfit_Sat_Galaxy_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
7.3 2.17929e-05 9.17962e-05 1.6187e-05 1.64633e-05 0.000177799 1.64633e-05 7.73934e-05 0.000319747 7.73934e-05 0 0 0 0 0 0 7.2 7.4 579220 472303 106917 11368 476 0
7.5 5.29924e-05 0.000189103 3.85006e-05 3.0553e-05 0.000282727 2.2306e-05 7.46603e-05 0.000297447 7.46603e-05 0 0 0 0 0 0 7.4 7.6 452217 357906 94311 11105 522 0
7.7 9.06865e-05 0.000271607 5.5911e-05 4.55576e-05 0.000467672 3.41003e-05 7.70001e-05 0.000785745 7.70001e-05 0 0 0 0 0 0 7.6 7.8 342444 263955 78489 10860 496 0
7.9 0.000133648 0.000354229 8.25118e-05 7.76106e-05 0.000613496 5.37357e-05 8.12018e-05 0.000907562 8.12018e-05 0 0.002 0 0 0 0 7.8 8 251766 190960 60806 10111 501 0
8.1 0.000167359 0.000467924 0.000103544 0.000200505 0.00101547 0.000152032 0.0001477 0.00124835 0.0001477 0 0.00469484 0 0 0 0 8 8.2 181753 137969 43784 8789 408 0
8.3 0.000160253 0.000553881 0.000112238 0.000211839 0.00193208 0.000149257 0.000107423 0.00369434 0.000107423 0.0025974 0.00473756 0.0025974 0 0 0 8.2 8.4 128181 98224 29957 7225 344 0
8.5 0.000126513 0.000830172 9.08563e-05 0.000205465 0.00347141 0.00014309 0.000152346 0.00554948 0.000152346 0 0.0143678 0 0 0 0 8.4 8.6 89517 69471 20046 5952 283 0
8.7 0.000116261 0.00151729 5.05148e-05 0.000296296 0.00713802 0.0002336 0.00017838 0.0110576 0.00017838 0 0.00892857 0 0 0 0 8.6 8.8 62165 49150 13015 4697 231 0
8.9 0.00017659 0.00293218 0.000147217 0.000530279 0.00968173 0.000397758 0.000533476 0.0139703 0.000319937 0 0.0163934 0 0 0 0 8.8 9 42786 34438 8348 3604 188 0
9.1 0.000161147 0.00615569 0.000161147 0.000668338 0.0134615 0.000479051 0.000379795 0.0147038 0.000379795 0.00621118 0.0331147 0.00621118 0 0 0 9 9.2 29079 23722 5357 2581 151 0
9.3 0.000312344 0.0113809 0.000312344 0.00178412 0.0278828 0.00148273 0.0010101 0.0204722 0.0010101 0.00793651 0.0714286 0.00793651 0 0 0 9.2 9.4 19825 16440 3385 1792 129 0
9.5 0.000679059 0.0206803 0.000679059 0.00335993 0.0469639 0.00335993 0.00103199 0.0370442 0.00103199 0.0183486 0.0927625 0.0183486 0 0 0 9.4 9.6 13091 11038 2053 1111 108 0
9.7 0.00280762 0.0269506 0.00265903 0.00495868 0.0640586 0.00495868 0 0.029734 0 0.032967 0.127033 0.032967 0 0 0 9.6 9.8 8828 7578 1250 592 85 0
9.9 0.0062379 0.0457795 0.00603248 0.00827586 0.0925095 0.00827586 0.00546448 0.0468003 0.00546448 0.0266667 0.166882 0.0266667 0 0 0 9.8 10 5753 4988 765 318 87 0
10.1 0.0135878 0.0608206 0.0129805 0.0208333 0.101852 0.0208333 0.0134228 0.0406312 0.0134228 0.0847458 0.237288 0.0847458 0 0 0 10 10.2 3683 3232 451 137 70 0
10.3 0.04046 0.0842749 0.0347092 0.0381356 0.0937326 0.0381356 0.0204082 0.0612245 0.0204082 0.0869565 0.151139 0.0869565 0 0 0 10.2 10.4 2346 2101 245 61 44 0
10.5 0.0675818 0.0986282 0.0483679 0.0785714 0.104635 0.0587694 0 0.1875 0 0.15 0.116667 0.10122 0 0 0 10.4 10.6 1443 1317 126 20 36 0
