# mass-metallicity data from Kirby et al. 2013 (table 4).
#
# Data obtained assuming 12+log10(Fe/H)_sun = 7.52 and
# a Kroupa IMF.
#
# Columns 2 and 3 are the lower and upper error bar on the mass.
# Columns 5 and 6 are the lower and upper error bar on Z.
#
# log10(Mstar/Msun)  log10(Z/Zsun)
7.39	0.14	0.14	-1.04	0.01	0.01
6.69	0.13	0.13	-1.45	0.01	0.01
6.59	0.21	0.21	-1.68	0.01	0.01
6.07	0.13	0.13	-1.63	0.01	0.01
5.84	0.20	0.20	-1.94	0.01	0.01
5.73	0.20	0.20	-2.13	0.01	0.01
5.51	0.01	0.01	-1.98	0.01	0.01
5.48	0.09	0.09	-1.91	0.01	0.01
4.57	0.14	0.14	-2.39	0.04	0.04
4.28	0.13	0.13	-2.10	0.03	0.03
3.93	0.11	0.15	-2.45	0.07	0.07
3.90	0.20	0.20	-2.12	0.05	0.05
3.73	0.23	0.23	-2.18	0.05	0.05
3.68	0.22	0.22	-2.25	0.04	0.04
3.14	0.13	0.13	-2.14	0.05	0.05
7.92	0.09	0.09	-1.05	0.01	0.01
8.01	0.06	0.06	-1.19	0.01	0.01
6.92	0.08	0.08	-1.43	0.02	0.02
6.82	0.08	0.08	-1.39	0.01	0.01
6.47	0.09	0.09	-1.58	0.02	0.02
6.15	0.05	0.05	-1.44	0.03	0.03
5.13	0.20	0.20	-1.74	0.04	0.04
8.67	0.05	0.05	-0.92	0.13	0.13
7.83	0.05	0.05	-1.12	0.36	0.36
8.00	0.05	0.05	-0.83	0.25	0.25
7.17	0.13	0.13	-1.62	0.21	0.21
6.96	0.08	0.08	-1.47	0.37	0.37
6.88	0.05	0.05	-1.33	0.17	0.17
6.26	0.12	0.12	-1.84	0.05	0.05
5.79	0.09	0.09	-1.94	0.18	0.18
5.90	0.30	0.30	-1.35	0.20	0.20
5.89	0.13	0.16	-1.70	0.20	0.20
5.58	0.30	0.20	-2.21	0.01	0.01
5.38	0.44	0.44	-1.93	0.20	0.20
5.15	0.40	0.40	-2.46	0.20	0.20
