# Kim et al. (2014), Table A.3
# The three blocks are z=1.9-3.2, z=1.9-2.4, z=2.4-3.2
# Empty cells have been replaced with 0
# log(NHI)	f(NHI,X)	Delta(f)_plus	Delta(f)_minus
12.875	-11.077	0.015	0.016	-11.082	0.021	0.022	-11.071	0.022	0.023
13.125	-11.437	0.017	0.018	-11.441	0.023	0.024	-11.432	0.025	0.026
13.375	-11.795	0.019	0.020	-11.840	0.027	0.029	-11.747	0.027	0.028
13.625	-12.163	0.022	0.023	-12.206	0.031	0.034	-12.117	0.031	0.033
13.875	-12.507	0.024	0.026	-12.555	0.035	0.038	-12.457	0.034	0.037
14.125	-12.992	0.032	0.034	-13.118	0.049	0.055	-12.879	0.041	0.045
14.375	-13.459	0.040	0.045	-13.611	0.064	0.075	-13.329	0.051	0.058
14.625	-13.781	0.044	0.049	-14.083	0.081	0.099	-13.579	0.051	0.058
14.875	-14.290	0.058	0.067	-14.351	0.082	0.102	-14.227	0.078	0.095
15.250	-14.933	0.055	0.063	-15.203	0.097	0.125	-14.744	0.065	0.076
15.750	-15.970	0.097	0.125	-16.129	0.149	0.228	-15.835	0.119	0.165
16.250	-16.674	0.119	0.165	-16.629	0.149	0.228	-16.733	0.176	0.301
16.750	-17.219	0.125	0.176	-17.907	0.301	0	-16.932	0.131	0.189
17.250	-17.896	0.149	0.228	-18.106	0.232	0.533	-17.733	0.176	0.301
17.750	-19.174	0.301	0	0	0	0	-18.835	0.301	0
